"","X1","artist","title","reviewid","score","author","author_type","pub_date","pub_weekday","album_release_year"
"1",1,"a place to bury strangers","a place to bury strangers",10595,8.4,"marc hogan","senior staff writer",2007-08-31,4,2007
"2",2,"a sunny day in glasgow","sea when absent",19478,8.5,"lindsay zoladz","contributor",2014-06-24,1,2014
"3",3,"a tribe called quest","we got it from here... thank you 4 your service",22607,9,"kris ex","contributor",2016-11-17,3,2016
"4",4,"a$ap rocky","live.love.a$ap",16026,8.2,"jeff weiss","contributor",2011-11-10,3,2011
"5",5,"a$ap rocky","long.live.a$ap",17505,8.5,"jayson greene","senior editor",2013-01-02,2,2013
"6",6,"a.c. newman","the slow wonder",5898,8.8,"brandon stosuy","contributor",2004-06-09,2,2004
"7",7,"actress","r.i.p.",16544,8.5,"mike powell","contributor",2012-04-26,3,2012
"8",8,"air","talkie walkie",81,8.3,"brent dicrescenzo","contributor",2004-01-25,6,2004
"9",9,"air france","no way down",11933,8.6,"marc hogan","senior staff writer",2008-06-26,3,2008
"10",10,"anderson .paak","malibu",21387,8.6,"marcus j. moore","contributor",2016-01-11,0,2016
"11",11,"andy stott","luxury problems",17205,8.7,"mark richardson","executive editor",2012-10-29,0,2012
"12",12,"andy stott","faith in strangers",20021,8.4,"grayson haver currin","contributor",2014-11-21,4,2014
"13",13,"angel olsen","burn your fire for no witness",18956,8.3,"lindsay zoladz","contributor",2014-02-17,0,2014
"14",14,"angel olsen","my woman",22282,8.8,"jenn pelly","associate reviews editor",2016-09-02,4,2016
"15",502,"angels of light","everything is good here/please come home",187,8.6,"dominique leone","contributor",2003-01-20,0,2003
"16",15,"animal collective","strawberry jam",10650,9.3,"mark richardson","executive editor",2007-09-10,0,2007
"17",16,"animal collective","merriweather post pavilion",12518,9.6,"mark richardson","executive editor",2009-01-05,0,2009
"18",17,"animal collective","fall be kind",13739,8.9,"mark richardson","executive editor",2009-11-25,2,2009
"19",18,"animal collective","sung tongs",191,8.9,"dominique leone","contributor",2004-05-02,6,2004
"20",19,"animal collective","feels",193,9,"mark richardson","executive editor",2005-10-17,0,2005
"21",20,"anna meredith","varmints",21527,8.4,"laura snapes","contributor",2016-03-07,0,2016
"22",21,"annie","anniemal",456,8.8,"scott plagenhoef","contributor",2004-11-07,6,2004
"23",22,"anohni","hopelessness",21819,9,"jenn pelly","associate reviews editor",2016-05-05,3,2016
"24",23,"antony and the johnsons","the crying light",12596,8.6,"marc masters","contributor",2009-01-19,0,2009
"25",24,"antony and the johnsons","i am a bird now",467,8.6,"brandon stosuy","contributor",2005-02-10,3,2005
"26",25,"aphex twin","syro",19755,8.7,"mark richardson","executive editor",2014-09-22,0,2014
"27",26,"aphex twin","computer controlled acoustic instruments pt2",20156,8.3,"mark richardson","executive editor",2015-01-27,1,2015
"28",27,"araabmuzik","electronic dream",15566,8.2,"tom breihan","contributor",2011-07-06,2,2011
"29",28,"arca","xen",19836,8.4,"philip sherburne","contributing editor",2014-11-03,0,2014
"30",29,"arca","mutant",21231,8.4,"mark richardson","executive editor",2015-11-18,2,2015
"31",30,"arcade fire","the suburbs",14516,8.6,"ian cohen","contributor",2010-08-02,0,2010
"32",31,"arcade fire","reflektor",18667,9.2,"lindsay zoladz","contributor",2013-10-28,0,2013
"33",32,"arcade fire","funeral",452,9.7,"david moore","contributor",2004-09-12,6,2004
"34",33,"arcade fire","neon bible",9946,8.4,"stephen m. deusner","contributor",2007-03-05,0,2007
"35",34,"architecture in helsinki","in case we die",441,8.8,"rob mitchum","contributor",2005-05-03,1,2005
"36",35,"archy marshall","a new place 2 drown",21326,8.6,"jayson greene","senior editor",2015-12-11,4,2015
"37",36,"ariel pink","pom pom",19936,8.8,"jeff weiss","contributor",2014-11-18,1,2014
"38",37,"ariel pink","before today",14324,9,"mark richardson","executive editor",2010-06-07,0,2010
"39",38,"ariel pink","mature themes",16936,8.5,"jayson greene","senior editor",2012-08-21,1,2012
"40",39,"art brut","bang bang rock & roll",475,8.9,"rob mitchum","contributor",2005-06-02,3,2005
"41",40,"atlas sound","let the blind lead those who can see but cannot feel",11160,8.6,"marc hogan","senior staff writer",2008-02-19,1,2008
"42",41,"atlas sound","logos",13619,8.2,"mark richardson","executive editor",2009-10-22,3,2009
"43",42,"atlas sound","parallax",15998,8.7,"nick neyland","contributor",2011-11-07,0,2011
"44",43,"autre ne veut","anxiety",17645,8.5,"ian cohen","contributor",2013-02-26,1,2013
