"","reviewid","title","artist","url","score","best_new_music","author","author_type","pub_date","pub_weekday","pub_day","pub_month","pub_year","year","review_release_years"
"1",10595,"a place to bury strangers","a place to bury strangers","http://pitchfork.com/reviews/albums/10595-a-place-to-bury-strangers/",8.4,1,"marc hogan","senior staff writer",2007-08-31,4,31,8,2007,2007,0
"2",19478,"sea when absent","a sunny day in glasgow","http://pitchfork.com/reviews/albums/19478-a-sunny-day-in-glasgow-sea-when-absent/",8.5,1,"lindsay zoladz","contributor",2014-06-24,1,24,6,2014,2014,0
"3",22607,"we got it from here... thank you 4 your service","a tribe called quest","http://pitchfork.com/reviews/albums/22607-we-got-it-from-here-thank-you-4-your-service/",9,1,"kris ex","contributor",2016-11-17,3,17,11,2016,2016,0
"4",17505,"long.live.a$ap","a$ap rocky","http://pitchfork.com/reviews/albums/17505-longliveaap/",8.5,1,"jayson greene","senior editor",2013-01-02,2,2,1,2013,2013,0
"5",16026,"live.love.a$ap","a$ap rocky","http://pitchfork.com/reviews/albums/16026-liveloveaap/",8.2,1,"jeff weiss","contributor",2011-11-10,3,10,11,2011,2011,0
"6",5898,"the slow wonder","a.c. newman","http://pitchfork.com/reviews/albums/5898-the-slow-wonder/",8.8,1,"brandon stosuy","contributor",2004-06-09,2,9,6,2004,2004,0
"7",16544,"r.i.p.","actress","http://pitchfork.com/reviews/albums/16544-actress-rip/",8.5,1,"mike powell","contributor",2012-04-26,3,26,4,2012,2012,0
"8",81,"talkie walkie","air","http://pitchfork.com/reviews/albums/81-talkie-walkie/",8.3,1,"brent dicrescenzo","contributor",2004-01-25,6,25,1,2004,2004,0
"9",11933,"no way down ep","air france","http://pitchfork.com/reviews/albums/11933-no-way-down-ep/",8.6,1,"marc hogan","senior staff writer",2008-06-26,3,26,6,2008,2008,0
"10",21387,"malibu","anderson .paak","http://pitchfork.com/reviews/albums/21387-malibu/",8.6,1,"marcus j. moore","contributor",2016-01-11,0,11,1,2016,2016,0
"11",20021,"faith in strangers","andy stott","http://pitchfork.com/reviews/albums/20021-andy-stott-faith-in-strangers/",8.4,1,"grayson haver currin","contributor",2014-11-21,4,21,11,2014,2014,0
"12",17205,"luxury problems","andy stott","http://pitchfork.com/reviews/albums/17205-luxury-problems/",8.7,1,"mark richardson","executive editor",2012-10-29,0,29,10,2012,2012,0
"13",22282,"my woman","angel olsen","http://pitchfork.com/reviews/albums/22282-my-woman/",8.8,1,"jenn pelly","associate reviews editor",2016-09-02,4,2,9,2016,2016,0
"14",18956,"burn your fire for no witness","angel olsen","http://pitchfork.com/reviews/albums/18956-angel-olsen-burn-your-fire-for-no-witness/",8.3,1,"lindsay zoladz","contributor",2014-02-17,0,17,2,2014,2014,0
"15",13739,"fall be kind ep","animal collective","http://pitchfork.com/reviews/albums/13739-fall-be-kind-ep/",8.9,1,"mark richardson","executive editor",2009-11-25,2,25,11,2009,2009,0
"16",12518,"merriweather post pavilion","animal collective","http://pitchfork.com/reviews/albums/12518-merriweather-post-pavilion/",9.6,1,"mark richardson","executive editor",2009-01-05,0,5,1,2009,2009,0
"17",10650,"strawberry jam","animal collective","http://pitchfork.com/reviews/albums/10650-strawberry-jam/",9.3,1,"mark richardson","executive editor",2007-09-10,0,10,9,2007,2007,0
