"","reviewid","genre"
"1",22703,"electronic"
"2",22721,"metal"
"3",22659,"rock"
"4",22661,"rock"
"5",22725,"electronic"
"6",22722,"rock"
"7",22704,"rap"
"8",22694,"electronic"
"9",22714,"experimental"
"10",22724,"rap"
"11",22715,"experimental"
"12",22745,"rap"
"13",22700,"electronic"
"14",22720,"rap"
"15",22699,"rap"
"16",22665,"rock"
"17",22666,"experimental"
"18",22719,"rap"
"19",22719,"pop/r&b"
"20",22667,"experimental"
"21",22691,"rap"
"22",22691,"pop/r&b"
"23",22702,"metal"
"24",22718,"rock"
"25",22706,"experimental"
"26",22695,"rock"
"27",22695,"experimental"
"28",22713,"electronic"
"29",22705,"folk/country"
"30",22532,"rock"
"31",22701,"electronic"
"32",22707,"jazz"
"33",22708,"rap"
"34",22559,"metal"
"35",22692,"rap"
"36",22677,"experimental"
"37",22469,"rock"
"38",22469,"rap"
"39",22711,"rap"
"40",22678,"rap"
"41",22664,"jazz"
"42",22685,"rap"
"43",22685,"electronic"
"44",22690,"rock"
"45",22689,"rap"
"46",22697,"rock"
"47",22681,"electronic"
"48",22698,"pop/r&b"
"49",22684,"experimental"
"50",22693,"experimental"
"51",22686,"rap"
"52",22643,"rock"
"53",22640,"electronic"
"54",22688,"electronic"
"55",22696,"rap"
"56",22663,"rock"
"57",22687,"electronic"
"58",22662,"global"
"59",22317,"rock"
"60",22673,"rock"
"61",22655,"rap"
"62",22593,"rock"
"63",22627,"rock"
"64",22627,"electronic"
"65",22555,"electronic"
"66",22682,"rap"
"67",22679,"global"
"68",22657,"electronic"
"69",22654,"rock"
"70",22631,"rock"
"71",22683,"electronic"
"72",22635,"experimental"
"73",22653,"rock"
"74",22672,"rap"
"75",22536,"electronic"
"76",22676,"pop/r&b"
"77",22671,"rap"
"78",22675,"rap"
"79",22680,"folk/country"
"80",22641,"pop/r&b"
"81",22645,"pop/r&b"
"82",22393,"rock"
"83",22393,"experimental"
"84",22660,"jazz"
"85",22660,"electronic"
"86",22553,"rock"
"87",22553,"pop/r&b"
"88",22626,"rock"
"89",22639,"jazz"
"90",22658,"rock"
"91",22638,"experimental"
"92",22656,"electronic"
"93",22669,"rock"
"94",22634,"pop/r&b"
"95",22632,"electronic"
"96",22652,"jazz"
"97",22674,"experimental"
"98",22674,"electronic"
"99",22670,"rap"
"100",22646,"rock"
"101",22535,"electronic"
"102",22668,"pop/r&b"
"103",22650,"rock"
"104",22651,"electronic"
"105",22596,"experimental"
"106",22644,"electronic"
"107",22649,"electronic"
"108",22583,"electronic"
"109",22595,"pop/r&b"
"110",22467,"pop/r&b"
"111",22613,"rap"
"112",22620,"experimental"
"113",22633,"pop/r&b"
"114",22597,"electronic"
"115",22561,"rap"
"116",22648,"pop/r&b"
"117",22531,"rock"
"118",22531,"experimental"
"119",22533,"electronic"
"120",22637,"experimental"
"121",22647,"rap"
"122",22614,"rock"
"123",22622,"rock"
"124",22636,"rock"
"125",22629,"metal"
"126",22534,"electronic"
"127",22565,"rock"
"128",22395,"folk/country"
"129",22592,"electronic"
"130",22598,"rock"
"131",22628,"rock"
"132",22624,"rock"
"133",22619,"rock"
"134",22619,"experimental"
"135",22642,"rock"
"136",22603,"pop/r&b"
"137",22594,"rock"
"138",22630,"rock"
"139",22552,"electronic"
"140",22625,"rock"
"141",22618,"electronic"
"142",22602,"rock"
"143",22621,"rap"
"144",22607,"rap"
"145",22611,"pop/r&b"
"146",22616,"electronic"
"147",22617,"metal"
"148",22401,"folk/country"
"149",22394,"experimental"
"150",22457,"electronic"
"151",22501,"experimental"
"152",22612,"rap"
"153",22525,"folk/country"
"154",22610,"pop/r&b"
"155",22518,"experimental"
"156",22527,"experimental"
"157",22623,"pop/r&b"
"158",22563,"rock"
"159",22563,"global"
"160",22563,"electronic"
"161",22505,"folk/country"
"162",22465,"rock"
"163",22465,"jazz"
"164",22465,"experimental"
"165",22465,"electronic"
"166",22506,"rock"
"167",22581,"rock"
"168",22519,"rock"
"169",22608,"experimental"
"170",22573,"rock"
"171",22609,"electronic"
"172",22605,"rap"
"173",22606,"rock"
"174",22502,"metal"
"175",22582,"pop/r&b"
"176",22604,"rap"
"177",22585,"rap"
"178",22560,"rock"
"179",22589,"electronic"
"180",22584,"rock"
"181",22392,"rock"
"182",22347,"jazz"
"183",22571,"pop/r&b"
"184",22586,"rap"
"185",22587,"folk/country"
"186",22550,"pop/r&b"
"187",22464,"pop/r&b"
"188",22570,"rock"
"189",22599,"rap"
"190",22558,"rock"
"191",22415,"rock"
"192",22600,"pop/r&b"
"193",22566,"rap"
"194",22520,"jazz"
"195",22520,"experimental"
"196",22574,"rap"
"197",22452,"rock"
"198",22588,"rap"
"199",22455,"electronic"
"200",22480,"rap"
"201",22543,"electronic"
"202",22579,"rock"
"203",22576,"experimental"
"204",22569,"pop/r&b"
"205",22556,"pop/r&b"
"206",22575,"rap"
"207",22554,"jazz"
"208",22528,"electronic"
"209",22540,"metal"
"210",22374,"rock"
"211",22562,"rock"
"212",22578,"pop/r&b"
"213",22414,"electronic"
"214",22498,"rock"
"215",22413,"electronic"
"216",22572,"rap"
"217",22462,"electronic"
"218",22557,"metal"
"219",22485,"rock"
"220",22547,"rap"
"221",22537,"rock"
"222",22441,"rock"
"223",22517,"electronic"
"224",22523,"rap"
"225",22551,"pop/r&b"
"226",22568,"electronic"
"227",22483,"jazz"
"228",22567,"rock"
"229",22549,"rock"
"230",22545,"pop/r&b"
"231",22546,"electronic"
"232",22526,"rock"
"233",22529,"rock"
"234",22500,"electronic"
"235",22548,"electronic"
"236",22524,"pop/r&b"
"237",22324,"rock"
"238",22442,"experimental"
"239",22442,"electronic"
"240",22516,"jazz"
"241",22514,"rock"
"242",22542,"rock"
"243",22454,"rock"
"244",22436,"rock"
"245",22377,"rock"
"246",22291,"rock"
"247",22378,"rock"
"248",22541,"rock"
"249",22503,"metal"
"250",22479,"rock"
"251",22522,"rap"
"252",22515,"electronic"
"253",22530,"electronic"
"254",22507,"rap"
"255",22521,"rock"
"256",22512,"electronic"
"257",22508,"rock"
"258",22509,"folk/country"
"259",22463,"rock"
"260",22513,"rap"
"261",22412,"electronic"
"262",22504,"rock"
"263",22389,"pop/r&b"
"264",22499,"rock"
"265",22495,"metal"
"266",22461,"global"
"267",22494,"pop/r&b"
"268",22440,"folk/country"
"269",22496,"rock"
"270",22497,"jazz"
"271",22458,"rock"
"272",22308,"rock"
"273",22390,"electronic"
"274",22511,"rap"
"275",22493,"electronic"
"276",22339,"rock"
"277",22490,"electronic"
"278",22404,"rock"
"279",22372,"global"
"280",22411,"electronic"
"281",22348,"rock"
"282",22391,"rap"
"283",22410,"electronic"
"284",22492,"rock"
"285",22488,"rock"
"286",22477,"rock"
"287",22489,"pop/r&b"
"288",22438,"electronic"
"289",22323,"folk/country"
"290",22307,"jazz"
"291",22307,"pop/r&b"
"292",22486,"rap"
"293",22478,"global"
"294",22478,"rap"
"295",22474,"rock"
"296",22450,"experimental"
"297",22449,"folk/country"
"298",22460,"metal"
"299",22439,"metal"
"300",22253,"pop/r&b"
"301",22318,"rock"
"302",22445,"electronic"
"303",22484,"rap"
"304",22466,"metal"
"305",22429,"pop/r&b"
"306",22451,"rock"
"307",22471,"pop/r&b"
"308",22470,"electronic"
"309",22437,"rock"
"310",22475,"pop/r&b"
"311",22476,"metal"
"312",22472,"experimental"
"313",22482,"pop/r&b"
"314",22376,"rock"
"315",22459,"experimental"
"316",22375,"electronic"
"317",22314,"experimental"
"318",22362,"folk/country"
"319",22435,"global"
"320",22373,"metal"
"321",22447,"pop/r&b"
"322",22468,"rap"
"323",22446,"rap"
"324",22299,"jazz"
"325",22434,"experimental"
"326",22292,"rock"
"327",22368,"rock"
"328",22430,"electronic"
"329",22346,"experimental"
"330",22388,"electronic"
"331",22420,"rock"
"332",22298,"electronic"
"333",22304,"electronic"
"334",22425,"experimental"
"335",22444,"electronic"
"336",22426,"rock"
"337",22424,"experimental"
"338",22315,"rock"
"339",22431,"rap"
"340",22443,"rap"
"341",22432,"rock"
"342",22427,"rock"
"343",22423,"folk/country"
"344",22387,"electronic"
"345",22146,"rap"
"346",22386,"folk/country"
"347",22416,"pop/r&b"
"348",22416,"electronic"
"349",22134,"rock"
"350",22422,"rock"
"351",22370,"rock"
"352",22400,"pop/r&b"
"353",22045,"pop/r&b"
"354",22419,"rock"
"355",22428,"rap"
"356",22406,"electronic"
"357",22369,"electronic"
"358",22313,"rock"
"359",22313,"pop/r&b"
"360",22405,"rock"
"361",22302,"experimental"
"362",22399,"rap"
"363",22409,"rock"
"364",22421,"rap"
"365",22385,"rock"
"366",22384,"rap"
"367",22418,"pop/r&b"
"368",22326,"metal"
"369",22366,"rap"
"370",22367,"rock"
"371",22402,"rock"
"372",22382,"rock"
"373",22383,"electronic"
"374",22408,"electronic"
"375",22407,"rock"
"376",22312,"jazz"
"377",22381,"electronic"
"378",22357,"metal"
"379",22061,"experimental"
"380",22293,"rap"
"381",22310,"experimental"
"382",22398,"rock"
"383",22398,"experimental"
"384",22403,"rap"
"385",22397,"rock"
"386",22359,"rock"
"387",22365,"electronic"
"388",22358,"jazz"
"389",22358,"experimental"
"390",22300,"experimental"
"391",22335,"rap"
"392",22379,"metal"
"393",22360,"rock"
"394",22336,"rock"
"395",22283,"rock"
"396",22303,"electronic"
"397",22306,"rock"
"398",22396,"global"
"399",22396,"pop/r&b"
"400",22343,"rock"
"401",22305,"experimental"
"402",22238,"rock"
"403",22350,"rock"
"404",22356,"experimental"
"405",22112,"electronic"
"406",22309,"folk/country"
"407",22345,"experimental"
"408",22255,"global"
"409",22327,"experimental"
"410",22288,"rock"
"411",22364,"rap"
"412",22380,"folk/country"
"413",22355,"rock"
"414",22289,"rock"
"415",22290,"electronic"
"416",22330,"folk/country"
"417",22330,"electronic"
"418",22361,"rap"
"419",22284,"rock"
"420",22354,"pop/r&b"
"421",22351,"pop/r&b"
"422",22363,"rap"
"423",22281,"electronic"
"424",22342,"jazz"
"425",22352,"electronic"
"426",22322,"electronic"
"427",22287,"rock"
"428",22344,"rap"
"429",22286,"rock"
"430",22212,"experimental"
"431",22353,"rap"
"432",22349,"rock"
"433",22337,"rock"
"434",21989,"rock"
"435",22282,"rock"
"436",22332,"rock"
"437",22332,"electronic"
"438",22333,"experimental"
"439",22277,"experimental"
"440",22329,"rap"
"441",22338,"rock"
"442",22338,"pop/r&b"
"443",22341,"rock"
"444",22341,"experimental"
"445",22341,"electronic"
"446",22271,"jazz"
"447",22319,"rock"
"448",22319,"rap"
"449",22331,"rock"
"450",22325,"electronic"
"451",22320,"rock"
"452",22320,"experimental"
"453",22296,"rap"
"454",22243,"electronic"
"455",22328,"rock"
"456",22279,"folk/country"
"457",22256,"rock"
"458",22340,"rap"
"459",22251,"rock"
"460",22257,"electronic"
"461",22132,"rap"
"462",22254,"rock"
"463",22252,"electronic"
"464",22260,"experimental"
"465",22321,"electronic"
"466",22280,"rap"
"467",22231,"electronic"
"468",22311,"folk/country"
"469",22295,"pop/r&b"
"470",22285,"rock"
"471",22249,"experimental"
"472",22258,"experimental"
"473",22211,"rap"
"474",22223,"rock"
"475",22276,"rock"
"476",22237,"electronic"
"477",22273,"pop/r&b"
"478",22274,"rap"
"479",22241,"rock"
"480",22233,"experimental"
"481",22248,"rock"
"482",22236,"electronic"
"483",22242,"rock"
"484",22239,"global"
"485",22239,"jazz"
"486",22239,"rap"
"487",22174,"pop/r&b"
"488",22267,"rap"
"489",22270,"rock"
"490",22270,"experimental"
"491",22230,"experimental"
"492",22169,"rock"
"493",22246,"electronic"
"494",22272,"rock"
"495",22227,"rock"
"496",22228,"rock"
"497",22245,"rock"
"498",22210,"rap"
"499",22264,"rock"
"500",22263,"rock"
"501",22265,"electronic"
"502",22261,"rap"
"503",22234,"electronic"
"504",22226,"rock"
"505",22262,"rock"
"506",22193,"pop/r&b"
"507",22244,"rock"
"508",22217,"rock"
"509",22232,"rap"
"510",22020,"rap"
"511",22215,"rock"
"512",22225,"electronic"
"513",22220,"rock"
"514",22131,"rock"
"515",22221,"rap"
"516",22247,"rock"
"517",22198,"folk/country"
"518",22214,"electronic"
"519",22185,"rock"
"520",22207,"electronic"
"521",22189,"electronic"
"522",22240,"rap"
"523",22150,"rock"
"524",22197,"electronic"
"525",22213,"rock"
"526",22208,"electronic"
"527",22202,"rock"
"528",22219,"rock"
"529",22206,"pop/r&b"
"530",22151,"electronic"
"531",22137,"rock"
"532",22200,"rock"
"533",22216,"electronic"
"534",22209,"electronic"
"535",22170,"pop/r&b"
"536",22170,"electronic"
"537",22139,"rock"
"538",22218,"rap"
"539",22182,"electronic"
"540",22203,"experimental"
"541",22044,"pop/r&b"
"542",22186,"rock"
"543",22204,"rap"
"544",22188,"jazz"
"545",22188,"experimental"
"546",22205,"metal"
"547",22191,"rap"
"548",22191,"pop/r&b"
"549",22199,"rap"
"550",22195,"electronic"
"551",22148,"electronic"
"552",22196,"rock"
"553",22196,"metal"
"554",22201,"rap"
"555",22187,"folk/country"
"556",22179,"rock"
"557",22149,"rock"
"558",22152,"rock"
"559",22192,"electronic"
"560",22165,"rock"
"561",22163,"pop/r&b"
"562",22143,"electronic"
"563",22183,"electronic"
"564",22178,"rock"
"565",22168,"rock"
"566",22145,"experimental"
"567",22142,"metal"
"568",22184,"electronic"
"569",22162,"experimental"
"570",22107,"rock"
"571",22159,"jazz"
"572",22159,"pop/r&b"
"573",22118,"rock"
"574",22194,"rock"
"575",22133,"metal"
"576",22173,"global"
"577",22113,"experimental"
"578",22190,"electronic"
"579",22172,"global"
"580",22180,"pop/r&b"
"581",22136,"rap"
"582",22181,"folk/country"
"583",22130,"electronic"
"584",22177,"rap"
"585",22147,"rock"
"586",22147,"metal"
"587",22175,"electronic"
"588",22129,"metal"
"589",22157,"rap"
"590",22128,"rock"
"591",22160,"rap"
"592",22098,"rock"
"593",22098,"metal"
"594",22167,"rap"
"595",22171,"rap"
"596",21886,"pop/r&b"
"597",22154,"rock"
"598",22166,"rock"
"599",22043,"rap"
"600",22161,"rap"
"601",22123,"rock"
"602",22144,"rock"
"603",22176,"pop/r&b"
"604",22119,"electronic"
"605",22121,"rap"
"606",22126,"rock"
"607",22158,"rock"
"608",22158,"experimental"
"609",22158,"electronic"
"610",22156,"pop/r&b"
"611",22135,"rap"
"612",22106,"global"
"613",22140,"rock"
"614",22120,"experimental"
"615",22110,"pop/r&b"
"616",22138,"rap"
"617",22127,"metal"
"618",22109,"jazz"
"619",22117,"electronic"
"620",22125,"rock"
"621",22125,"electronic"
"622",22155,"experimental"
"623",22101,"rap"
"624",22103,"experimental"
"625",22116,"rock"
"626",22124,"electronic"
"627",22087,"electronic"
"628",21924,"rock"
"629",22073,"rock"
"630",22141,"rap"
"631",22062,"electronic"
"632",22108,"rock"
"633",22075,"pop/r&b"
"634",22111,"rock"
"635",22122,"experimental"
"636",22105,"electronic"
"637",22094,"rap"
"638",22090,"electronic"
"639",22064,"rock"
"640",22102,"experimental"
"641",22093,"experimental"
"642",22100,"electronic"
"643",22095,"rock"
"644",22114,"electronic"
"645",22057,"pop/r&b"
"646",22097,"experimental"
"647",22088,"experimental"
"648",22099,"metal"
"649",21895,"rock"
"650",21895,"global"
"651",22085,"pop/r&b"
"652",22071,"electronic"
"653",22059,"rock"
"654",22104,"pop/r&b"
"655",22035,"pop/r&b"
"656",22060,"pop/r&b"
"657",22092,"folk/country"
"658",22016,"folk/country"
"659",22026,"electronic"
"660",22065,"electronic"
"661",22091,"electronic"
"662",22086,"pop/r&b"
"663",22086,"experimental"
"664",22015,"jazz"
"665",22015,"metal"
"666",22072,"electronic"
"667",22074,"metal"
"668",22089,"rap"
"669",22027,"rock"
"670",22027,"electronic"
"671",22080,"rock"
"672",22083,"pop/r&b"
"673",21883,"pop/r&b"
"674",22076,"experimental"
"675",22067,"rock"
"676",22084,"rock"
"677",22069,"rock"
"678",22056,"rock"
"679",22054,"rock"
"680",22079,"rap"
"681",22081,"rock"
"682",22063,"rock"
"683",22082,"experimental"
"684",22077,"rap"
"685",22078,"electronic"
"686",22066,"rock"
"687",22022,"experimental"
"688",22052,"pop/r&b"
"689",22070,"rock"
"690",22029,"pop/r&b"
"691",22021,"rock"
"692",22030,"experimental"
"693",22013,"rock"
"694",22013,"experimental"
