"","reviewid","label"
"1",22703,"virgin"
"2",22721,"hathenter"
"3",22659,"static shock"
"4",22659,"fashionable idiots"
"5",22661,"kill rock stars"
"6",22661,"mississippi"
"7",22725,"teklife"
"8",22722,"rca"
"9",22704,"age 101"
"10",22694,"stroboscopic artefacts"
"11",22714,"warp"
"12",22724,"roc nation"
"13",22715,"important"
"14",22745,"self-released"
"15",22700,"pan"
"16",22720,"awge"
"17",22720,"a country called earth"
"18",22699,"babygrande"
"19",22665,"soul jazz"
"20",22666,"cejero"
"21",22719,"self-released"
"22",22667,"leaving"
"23",22691,"radio killa"
"24",22702,"profound lore"
"25",22718,"self-released"
"26",22706,"northern spy"
"27",22695,"p.w. elverum & sun"
"28",22713,"bedroom community"
"29",22705,"mercury"
"30",22532,"polyvinyl"
"31",22701,"pan"
"32",22707,"challenge"
"33",22708,"top dawg entertainment"
"34",22559,"rhino"
"35",22692,"1017 brick squad"
"36",22677,"milan"
"37",22469,"republic"
"38",22469,"wicked awesome"
"39",22711,"don giovanni"
"40",22678,"columbia"
"41",22664,"eremite"
"42",22685,"fool's gold"
"43",22690,"brutal honest"
"44",22689,"empire"
"45",22689,"brockhampton"
"46",22697,"pan"
"47",22681,"mau5trap"
"48",22698,"hyperdub"
"49",22684,"erased tapes"
"50",22693,"new amsterdam"
"51",22686,"republic"
"52",22643,"columbia legacy"
"53",22640,"drumma"
"54",22688,"numbers"
"55",22696,"roc nation"
"56",22696,"dreamville"
"57",22663,"legacy"
"58",22687,"mom & pop"
"59",22662,"glitterbeat"
"60",22317,"columbia"
"61",22673,"atlantic"
"62",22655,"self-released"
"63",22593,"numero group"
"64",22627,"delicacies"
"65",22555,"kompakt"
"66",22682,"epic"
"67",22679,"transgressive"
"68",22657,"subtext"
"69",22654,"reprise"
"70",22631,"ume"
"71",22631,"a&m"
"72",22683,"fool's gold"
"73",22635,"bel-air glamour records"
"74",22653,"polydor"
"75",22672,"1017 brick squad"
"76",22536,"white material"
"77",22676,"domino"
"78",22671,"glassnote"
"79",22675,"self-released"
"80",22680,"vanner"
"81",22680,"sony"
"82",22641,"input"
"83",22645,"columbia"
"84",22393,"secretly canadian"
"85",22393,"chimera"
"86",22660,"ahead of our time"
"87",22553,"reveal"
"88",22626,"interscope"
"89",22626,"tiny evil"
"90",22639,"strut"
"91",22658,"mexican summer"
"92",22638,"slipdisc"
"93",22656,"technicolour"
"94",22669,"concord bicycle"
"95",22634,"atlantic"
"96",22632,"rett i fletta"
"97",22652,"nna tapes"
"98",22674,"hyperdub"
"99",22670,"def jam"
"100",22646,"triple crown"
"101",22535,"melody as truth"
"102",22668,"republic"
"103",22650,"pc music"
"104",22651,"gold robot"
"105",22596,"forced exposure"
"106",22644,"because music"
"107",22644,"ed banger"
"108",22649,"modern love"
"109",22583,"vague terrain"
"110",22595,"time no place"
"111",22467,"concord"
"112",22467,"fish people"
"113",22613,"heavy on the grind"
"114",22620,"ecm new series"
"115",22633,"bella union"
"116",22597,"break world"
"117",22561,"priority"
"118",22648,"local action"
"119",22648,"our dawn"
"120",22531,"northern spy"
"121",22533,"important"
"122",22637,"new amsterdam"
"123",22647,"self-released"
"124",22614,"acony"
"125",22622,"sideonedummy"
"126",22636,"omnibus"
"127",22629,"blackened recordings"
"128",22534,"tresor"
"129",22565,"legacy"
"130",22395,"three lobed"
"131",22592,"warp"
"132",22598,"matador"
"133",22628,"london london"
"134",22624,"thrill jockey"
"135",22619,"sister polygon"
"136",22642,"columbia"
"137",22603,"rca"
"138",22594,"light in the attic"
"139",22630,"drag city"
"140",22552,"local action"
"141",22625,"castle face"
"142",22618,"warp"
"143",22602,"sacred bones"
"144",22621,"leaving"
"145",22607,"epic"
"146",22611,"carpark"
"147",22616,"knives"
"148",22617,"sumerian"
"149",22401,"dust-to-digital"
"150",22394,"non"
"151",22394,"hospital"
"152",22457,"!k7"
"153",22501,"cantaloupe"
"154",22612,"coke boys"
"155",22612,"epic"
"156",22612,"bad boy"
"157",22525,"round"
"158",22525,"ato"
"159",22610,"virgin"
"160",22518,"cantaloupe"
"161",22527,"sony classical"
"162",22623,"def jam"
"163",22563,"kranky"
"164",22505,"don giovanni"
"165",22465,"northern spy"
"166",22506,"sst"
"167",22581,"milan"
"168",22519,"we are the men"
"169",22608,"editions mego"
"170",22573,"mag mag"
"171",22609,"warp"
"172",22605,"dum shiny"
"173",22606,"quarterstick"
"174",22502,"earmusic"
"175",22582,"rca"
"176",22604,"new funk academy"
"177",22585,"warp"
"178",22560,"sacred bones"
"179",22589,"columbia"
"180",22589,"disruptor"
"181",22584,"in the red"
"182",22392,"light in the attic"
"183",22347,"firehouse 12"
"184",22571,"torn clean"
"185",22586,"def jam"
"186",22586,"yj"
"187",22587,"domino"
"188",22550,"fat possum"
"189",22550,"fresh selects"
"190",22464,"weird world"
"191",22570,"capitol"
"192",22570,"ato"
"193",22599,"rca"
"194",22599,"polo grounds"
"195",22599,"a$ap worldwide"
"196",22558,"joyful noise"
"197",22415,"tiny engines"
"198",22600,"polar"
"199",22566,"music on vinyl"
"200",22520,"cold spring"
"201",22574,"closed sessions"
"202",22452,"ato"
"203",22588,"def jam"
"204",22588,"umg"
"205",22455,"terrible"
"206",22480,"self-released"
"207",22543,"blackest ever black"
"208",22579,"nice life"
"209",22579,"federal prism"
"210",22579,"big deal"
"211",22576,"quiet time"
"212",22569,"stax"
"213",22556,"daptone"
"214",22575,"maybach"
"215",22554,"legacy"
