"","reviewid","year"
"1",22703,1998
"2",22721,2016
"3",22659,2016
"4",22661,2016
"5",22725,2016
"6",22722,2016
"7",22704,2016
"8",22694,2016
"9",22714,2017
"10",22724,2016
"11",22715,2016
"12",22745,2016
"13",22700,2016
"14",22720,2016
"15",22699,2016
"16",22665,2016
"17",22666,2016
"18",22719,2016
"19",22667,2016
"20",22691,2016
"21",22702,2016
"22",22718,2016
"23",22706,2016
"24",22695,2016
"25",22713,2016
"26",22705,2016
"27",22532,2016
"28",22701,2016
"29",22707,2016
"30",22708,2016
"31",22559,1996
"32",22559,2016
"33",22692,2016
"34",22677,2016
"35",22469,2016
"36",22711,2016
"37",22678,2016
"38",22664,2016
"39",22685,2016
"40",22690,2016
"41",22689,2016
"42",22697,2016
"43",22681,2016
"44",22698,2016
"45",22684,2016
"46",22693,2016
"47",22686,2016
"48",22643,1966
"49",22643,2016
"50",22640,2016
"51",22688,2016
"52",22696,2016
"53",22663,2016
"54",22687,2016
"55",22662,2016
"56",22317,1998
"57",22673,2016
"58",22655,2016
"59",22593,2016
"60",22627,2016
"61",22555,2016
"62",22682,2016
"63",22679,2016
"64",22657,2016
"65",22654,2016
"66",22631,1991
"67",22631,2016
"68",22683,2016
"69",22635,2016
"70",22653,2016
"71",22672,2016
"72",22536,2016
"73",22676,2016
"74",22671,2016
"75",22675,2016
"76",22680,2016
"77",22641,2016
"78",22645,2016
"79",22393,1968
"80",22393,2016
"81",22660,2016
"82",22553,2016
"83",22626,2006
"84",22639,2016
"85",22658,2016
"86",22638,2016
"87",22656,2016
"88",22669,1991
"89",22669,2016
"90",22634,2016
"91",22632,2016
"92",22652,2016
"93",22674,2016
"94",22670,2016
"95",22646,2016
"96",22535,2016
"97",22668,2016
"98",22650,2016
"99",22651,2016
"100",22596,2016
"101",22644,2016
"102",22649,2016
"103",22583,2016
"104",22595,2016
"105",22467,2016
"106",22613,2016
"107",22620,2016
"108",22633,2016
"109",22597,2016
"110",22561,1991
"111",22648,2016
"112",22531,2016
"113",22533,2016
"114",22637,2016
"115",22647,2016
"116",22614,2016
"117",22622,2016
"118",22636,2016
"119",22629,2016
"120",22534,2016
"121",22565,2016
"122",22395,2016
"123",22592,1993
"124",22592,2016
"125",22598,2016
"126",22628,2016
"127",22624,2016
"128",22619,2016
"129",22642,1988
"130",22603,2016
"131",22594,2016
"132",22630,2016
"133",22552,2016
"134",22625,2016
"135",22618,2016
"136",22602,2016
"137",22621,2016
"138",22607,2016
"139",22611,2016
"140",22616,2016
"141",22617,2016
"142",22401,2016
"143",22394,2016
"144",22457,2016
"145",22501,2016
"146",22612,2016
"147",22525,1962
"148",22525,2016
"149",22610,2016
"150",22518,2016
"151",22527,2016
"152",22623,2016
"153",22563,2016
"154",22505,2016
"155",22465,2016
"156",22506,1984
"157",22581,2016
"158",22519,2016
"159",22608,2016
"160",22573,2016
"161",22609,2016
"162",22605,2016
"163",22606,2003
"164",22606,2016
"165",22502,2016
"166",22582,2016
"167",22604,2016
"168",22585,2016
"169",22560,2016
"170",22589,2016
"171",22584,2016
"172",22392,2016
"173",22347,2016
"174",22571,2016
"175",22586,2016
"176",22587,2016
"177",22550,2016
"178",22464,2016
"179",22570,2016
"180",22599,2016
"181",22558,2016
"182",22415,2016
"183",22600,1976
"184",22566,1994
"185",22566,2016
"186",22520,2016
"187",22574,2016
"188",22452,2016
"189",22588,2016
"190",22455,2016
"191",22480,2016
"192",22543,2016
"193",22579,2016
"194",22576,2016
"195",22569,2016
"196",22556,2016
"197",22575,2016
"198",22554,2016
"199",22528,2016
"200",22540,2016
"201",22374,1979
"202",22374,2016
"203",22562,2016
"204",22578,2016
"205",22414,2016
"206",22498,2016
"207",22413,2016
"208",22572,2016
"209",22462,1971
"210",22462,2016
"211",22557,2016
"212",22485,1975
"213",22547,2016
"214",22537,2016
"215",22441,2016
"216",22517,2016
"217",22523,2016
"218",22551,2016
"219",22568,2016
"220",22483,2016
"221",22567,2016
"222",22549,2016
"223",22545,2016
"224",22546,2016
"225",22526,2016
"226",22529,2016
"227",22500,2016
"228",22548,2016
"229",22524,2016
"230",22324,2016
"231",22442,2016
"232",22516,2016
"233",22514,2016
"234",22542,2016
"235",22454,2016
"236",22436,2016
"237",22377,2016
"238",22291,1980
"239",22378,2016
"240",22541,2016
"241",22503,2016
"242",22479,2016
"243",22522,2016
"244",22515,2016
